"","Region","Subregion","Country","Rate","Count","Year"
"317","Asia","South-Eastern Asia","Indonesia","2.0539999999999998","5102","2012"
"318","Asia","South-Eastern Asia","Myanmar","0.46300000000000002","238","2012"
"319","Asia","South-Eastern Asia","Philippines","1.843","1792","2012"
"320","Asia","South-Eastern Asia","Singapore","28.925000000000001","1553","2012"
"321","Asia","South-Eastern Asia","Thailand","1.9830000000000001","1345","2012"
"322","Asia","South-Eastern Asia","Timor-Leste",NA,NA,"2012"
"323","Asia","Southern Asia","Bhutan","10.826000000000001","76","2012"
"324","Asia","Southern Asia","India","6.2770000000000001","79447","2012"
"325","Asia","Southern Asia","Maldives","145.34","577","2012"
"326","Asia","Southern Asia","Pakistan","1.851","3466","2012"
"327","Asia","Southern Asia","Sri Lanka","4.359","895","2012"
"328","Asia","Western Asia","Armenia","3.641","105","2012"
"329","Asia","Western Asia","Azerbaijan","1.9430000000000001","180","2012"
"330","Asia","Western Asia","Bahrain",NA,NA,"2012"
"331","Asia","Western Asia","Cyprus","6.0789999999999997","69","2012"
"332","Asia","Western Asia","Georgia",NA,NA,"2012"
"333","Asia","Western Asia","Israel",NA,NA,"2012"
"334","Asia","Western Asia","Kuwait",NA,NA,"2012"
"335","Asia","Western Asia","Lebanon","3.9180000000000001","217","2012"
"336","Asia","Western Asia","Oman",NA,NA,"2012"
"337","Asia","Western Asia","Saudi Arabia",NA,NA,"2012"
"338","Asia","Western Asia","State of Palestine","2.8290000000000002","120","2012"
"339","Asia","Western Asia","Syrian Arab Republic",NA,NA,"2012"
"340","Asia","Western Asia","Turkey","7.4039999999999999","5527","2012"
"341","Asia","Western Asia","United Arab Emirates","2.2639999999999998","207","2012"
"342","Asia","Western Asia","Yemen",NA,NA,"2012"
"343","Europe","Eastern Europe","Belarus","4.6619999999999999","439","2012"
"344","Europe","Eastern Europe","Bulgaria","9.49","696","2012"
"345","Europe","Eastern Europe","Czech Republic","13.326000000000001","1410","2012"
"346","Europe","Eastern Europe","Hungary","13.737","1355","2012"
"347","Europe","Eastern Europe","Poland","7.2619999999999996","2776","2012"
"348","Europe","Eastern Europe","Republic of Moldova","15.137","617","2012"
"349","Europe","Eastern Europe","Romania","7.6189999999999998","1541","2012"
"350","Europe","Eastern Europe","Russian Federation","9.5640000000000001","13772","2012"
"351","Europe","Eastern Europe","Slovakia","11.837","641","2012"
"352","Europe","Eastern Europe","Ukraine",NA,NA,"2012"
"353","Europe","Northern Europe","Denmark","33.933","1904","2012"
"354","Europe","Northern Europe","Estonia","30.234000000000002","400","2012"
"355","Europe","Northern Europe","Finland","64.837999999999994","3511","2012"
"356","Europe","Northern Europe","Iceland","83.742000000000004","273","2012"
"357","Europe","Northern Europe","Ireland","45.92","2116","2012"
"358","Europe","Northern Europe","Latvia","15.756","326","2012"
"359","Europe","Northern Europe","Lithuania","14.478","441","2012"
"360","Europe","Northern Europe","Norway","52.353000000000002","2625","2012"
"361","Europe","Northern Europe","Sweden","147.64699999999999","14090","2012"
"362","Europe","Southern Europe","Albania","1.51","44","2012"
"363","Europe","Southern Europe","Andorra","21.951000000000001","18","2012"
"364","Europe","Southern Europe","Bosnia and Herzegovina","3.8559999999999999","139","2012"
"365","Europe","Southern Europe","Croatia","7.984","343","2012"
"366","Europe","Southern Europe","Greece","4.508","486","2012"
"367","Europe","Southern Europe","Holy See","0","0","2012"
"368","Europe","Southern Europe","Italy","7.8310000000000004","4689","2012"
"369","Europe","Southern Europe","Malta","19.431000000000001","82","2012"
"370","Europe","Southern Europe","Montenegro","3.8340000000000001","24","2012"
"371","Europe","Southern Europe","North Macedonia","5.7859999999999996","120","2012"
"372","Europe","Southern Europe","Portugal","19.276","2029","2012"
"373","Europe","Southern Europe","Serbia","4.306","385","2012"
"374","Europe","Southern Europe","Slovenia","12.827999999999999","264","2012"
"375","Europe","Southern Europe","Spain","19.14","9008","2012"
"376","Europe","Western Europe","Austria","45.341999999999999","3855","2012"
"377","Europe","Western Europe","Belgium","63.987000000000002","7093","2012"
"378","Europe","Western Europe","France","42.134999999999998","26783","2012"
"379","Europe","Western Europe","Germany","44.801000000000002","36277","2012"
"380","Europe","Western Europe","Liechtenstein","32.432000000000002","12","2012"
"381","Europe","Western Europe","Luxembourg","52.353999999999999","278","2012"
"382","Europe","Western Europe","Monaco",NA,NA,"2012"
"383","Europe","Western Europe","Netherlands","52.881999999999998","8880","2012"
"384","Europe","Western Europe","Switzerland","32.229999999999997","2581","2012"
"385","Oceania","Australia and New Zealand","Australia","84.911000000000001","19448","2012"
"386","Oceania","Australia and New Zealand","New Zealand","75.849999999999994","3389","2012"
"387","Oceania","Melanesia","Solomon Islands",NA,NA,"2012"
"388","Africa","Eastern Africa","Burundi",NA,NA,"2013"
"389","Africa","Eastern Africa","Kenya","10.499000000000001","4779","2013"
"390","Africa","Eastern Africa","Madagascar","1.825","419","2013"
"391","Africa","Eastern Africa","Mauritius",NA,NA,"2013"
"392","Africa","Eastern Africa","Mozambique",NA,NA,"2013"
"393","Africa","Eastern Africa","Rwanda","16.038","1734","2013"
"394","Africa","Eastern Africa","Uganda","30.744","10974","2013"
"395","Africa","Eastern Africa","United Republic of Tanzania","6.0000000000000001E-3","3","2013"
"396","Africa","Middle Africa","Cameroon","3.048","673","2013"
"397","Africa","Middle Africa","Sao Tome and Principe",NA,NA,"2013"
"398","Africa","Northern Africa","Algeria","14.672000000000001","5596","2013"
"399","Africa","Northern Africa","Egypt",NA,NA,"2013"
"400","Africa","Northern Africa","Morocco","12.834","4327","2013"
"401","Africa","Southern Africa","Botswana",NA,NA,"2013"
"402","Africa","Southern Africa","South Africa",NA,NA,"2013"
"403","Africa","Western Africa","Cabo Verde","46.484000000000002","238","2013"
"404","Africa","Western Africa","Cote d'Ivoire",NA,NA,"2013"
"405","Africa","Western Africa","Guinea",NA,NA,"2013"
"406","Africa","Western Africa","Nigeria","1.0409999999999999","1788","2013"
"407","Africa","Western Africa","Senegal",NA,NA,"2013"
"408","Africa","Western Africa","Sierra Leone",NA,NA,"2013"
"409","Americas","Caribbean","Bahamas",NA,NA,"2013"
