"","Region","Subregion","Country","Rate","Count","Year"
"279","Europe","Western Europe","Liechtenstein","216.67","78","2011"
"280","Europe","Western Europe","Luxembourg","528.71","2744","2011"
"281","Europe","Western Europe","Monaco",NA,NA,"2011"
"282","Europe","Western Europe","Netherlands","355.03","59425","2011"
"283","Europe","Western Europe","Switzerland","6.16","487","2011"
"284","Oceania","Australia and New Zealand","Australia","293.3","66103","2011"
"285","Oceania","Australia and New Zealand","New Zealand","244.53","10806","2011"
"286","Oceania","Melanesia","Solomon Islands",NA,NA,"2011"
"287","Africa","Eastern Africa","Burundi","4.92","455","2012"
"288","Africa","Eastern Africa","Kenya","32.78","14534","2012"
"289","Africa","Eastern Africa","Madagascar","9.4600000000000009","2115","2012"
"290","Africa","Eastern Africa","Mauritius",NA,NA,"2012"
"291","Africa","Eastern Africa","Mozambique",NA,NA,"2012"
"292","Africa","Eastern Africa","Rwanda","30.11","3177","2012"
"293","Africa","Eastern Africa","Uganda","52.17","18030","2012"
"294","Africa","Eastern Africa","United Republic of Tanzania",NA,NA,"2012"
"295","Africa","Eastern Africa","Zimbabwe",NA,NA,"2012"
"296","Africa","Middle Africa","Cameroon","26.83","5764","2012"
"297","Africa","Middle Africa","Sao Tome and Principe",NA,NA,"2012"
"298","Africa","Northern Africa","Algeria","139.86000000000001","52287","2012"
"299","Africa","Northern Africa","Egypt",NA,NA,"2012"
"300","Africa","Northern Africa","Morocco","88.56","29439","2012"
"301","Africa","Southern Africa","Botswana",NA,NA,"2012"
"302","Africa","Southern Africa","Eswatini",NA,NA,"2012"
"303","Africa","Southern Africa","Lesotho",NA,NA,"2012"
"304","Africa","Southern Africa","South Africa",NA,NA,"2012"
"305","Africa","Western Africa","Benin",NA,NA,"2012"
"306","Africa","Western Africa","Cabo Verde","815.05","4116","2012"
"307","Africa","Western Africa","Cote d'Ivoire",NA,NA,"2012"
"308","Africa","Western Africa","Guinea",NA,NA,"2012"
"309","Africa","Western Africa","Guinea-Bissau",NA,NA,"2012"
"310","Africa","Western Africa","Nigeria","9.1999999999999993","15388","2012"
"311","Africa","Western Africa","Senegal",NA,NA,"2012"
"312","Africa","Western Africa","Sierra Leone",NA,NA,"2012"
"313","Americas","Caribbean","Bahamas","860.44","3132","2012"
"314","Americas","Caribbean","Barbados","516.9","1468","2012"
"315","Americas","Caribbean","Dominica",NA,NA,"2012"
"316","Americas","Caribbean","Dominican Republic","59.78","5937","2012"
"317","Americas","Caribbean","Grenada","1227.0999999999999","1313","2012"
"318","Americas","Caribbean","Jamaica","200","5684","2012"
"319","Americas","Caribbean","Puerto Rico","77.27","2733","2012"
"320","Americas","Caribbean","St. Kitts and Nevis",NA,NA,"2012"
"321","Americas","Caribbean","St. Vincent and the Grenadines","1029.6300000000001","1112","2012"
"322","Americas","Caribbean","Trinidad and Tobago","43.05","579","2012"
"323","Americas","Central America","Belize","273.08","923","2012"
"324","Americas","Central America","Costa Rica","138.16","6477","2012"
"325","Americas","Central America","El Salvador","67.78","4228","2012"
"326","Americas","Central America","Guatemala","39.85","6086","2012"
"327","Americas","Central America","Honduras","23.46","2027","2012"
"328","Americas","Central America","Mexico","180.71","211921","2012"
"329","Americas","Central America","Nicaragua",NA,NA,"2012"
"330","Americas","Central America","Panama","144.82","5461","2012"
"331","Americas","Northern America","Bermuda","849.23","552","2012"
"332","Americas","Northern America","Canada","152.74","53339","2012"
"333","Americas","Northern America","United States of America","242.64","762009","2012"
"334","Americas","South America","Argentina",NA,NA,"2012"
"335","Americas","South America","Bolivia (Plurinational State of)","71.56","7426","2012"
"336","Americas","South America","Brazil","367.77","732913","2012"
"337","Americas","South America","Chile","113.87","19813","2012"
"338","Americas","South America","Colombia","178.36","82181","2012"
"339","Americas","South America","Ecuador","53.26","8242","2012"
"340","Americas","South America","Guyana","1306.8900000000001","9867","2012"
"341","Americas","South America","Paraguay","31.52","2024","2012"
"342","Americas","South America","Peru","84.8","25022","2012"
"343","Americas","South America","Suriname",NA,NA,"2012"
"344","Americas","South America","Uruguay","13.88","469","2012"
"345","Asia","Central Asia","Kazakhstan","9.9499999999999993","1666","2012"
"346","Asia","Central Asia","Kyrgyzstan","7.36","414","2012"
"347","Asia","Central Asia","Tajikistan",NA,NA,"2012"
"348","Asia","Central Asia","Turkmenistan",NA,NA,"2012"
"349","Asia","Central Asia","Uzbekistan",NA,NA,"2012"
"350","Asia","Eastern Asia","Hong Kong Special Administrative Region of China","104.04","7332","2012"
"351","Asia","Eastern Asia","Japan","21.85","28058","2012"
"352","Asia","Eastern Asia","Macao Special Administrative Region of China","310.99","1754","2012"
"353","Asia","Eastern Asia","Mongolia","231.72","6546","2012"
"354","Asia","Eastern Asia","Republic of Korea","124.36","62257","2012"
"355","Asia","South-Eastern Asia","Brunei Darussalam",NA,NA,"2012"
"356","Asia","South-Eastern Asia","Indonesia","12.44","30901","2012"
"357","Asia","South-Eastern Asia","Malaysia",NA,NA,"2012"
"358","Asia","South-Eastern Asia","Myanmar","4.5","2312","2012"
"359","Asia","South-Eastern Asia","Singapore","8.42","452","2012"
"360","Asia","South-Eastern Asia","Thailand","20.13","13654","2012"
"361","Asia","Southern Asia","Bangladesh",NA,NA,"2012"
"362","Asia","Southern Asia","Bhutan",NA,NA,"2012"
"363","Asia","Southern Asia","India","26.25","332324","2012"
"364","Asia","Southern Asia","Maldives","318.39","1264","2012"
"365","Asia","Southern Asia","Nepal",NA,NA,"2012"
"366","Asia","Southern Asia","Pakistan","17.190000000000001","32194","2012"
"367","Asia","Southern Asia","Sri Lanka","322.10000000000002","66137","2012"
